tenantId,typeId,id,Value,isActive
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b01,APPETISERS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b02,SOLKADI,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b03,SOUPS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b04,TOMATO / PALAK / MUSHROOM,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b05,VEG. (HOT & SOUR / SWEET CORN / CLEAR),TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b06,CHICKEN (HOT & SOUR / SWEET CORN / CLEAR),TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b07,FISH / CRAB / PRAWN / CLAM SOUP,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b08,MULIGAWANY SOUP (VEG / CHICKEN),TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b09,RAITAS OR SALADS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b10,MIX VEG / BOONDI / PINEAPPLE,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b11,TOMATO / GREEN SALAD,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b12,TANDOORI OR KEBABS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b13,TANDOORI POMFRET,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b14,TANDOORI RAVAS / SURMAI,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b15,BANGDA TANDOORI,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b16,FISH KEBAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b17,FISH TIKKA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b18,PUDINA FISH TIKKA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b19,FISH TIRANGA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b20,PRAWNS / FISH SEEKH KEBAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b21,FISH KURKURE,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b22,CHICKEN TANDOORI (FULL),TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b23,CHICKEN TANDOORI (HALF),TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b24,CHICKEN TIKKA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b25,RESHMI KEBAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b26,TANGDI KEBAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b27,CHICKEN BURHANSI KEBAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b28,CHICKEN BANJARA KEBAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b29,CHICKEN CHAKORI KEBAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b30,CHICKEN SEEKH KEBAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b31,SEEKH KEBAB (MUTTON),TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b32,VEG. HARA BHARA KEBAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b33,VEG. SEEKH KEBAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b34,VEG. PANEER TIKKA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b35,HARIYALI PANEER TIKKA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b36,MUSHROOM TIKKA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b37,ALOO CHEESE ROLL,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b38,CRABS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b39,TANDOORI CRAB,TRUE
