tenantId,typeId,id,Value,isActive
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,1d01b67d-ae4c-4105-b9c6-222d027a1526,f17b3f9b-43de-4c56-bb89-a077a2f65000,Employee,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,1d01b67d-ae4c-4105-b9c6-222d027a1526,f17b3f9b-43de-4c56-bb89-a077a2f65001,Employee and Applicant,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,1d01b67d-ae4c-4105-b9c6-222d027a1526,f17b3f9b-43de-4c56-bb89-a077a2f65002,Former Spouse,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,1d01b67d-ae4c-4105-b9c6-222d027a1526,f17b3f9b-43de-4c56-bb89-a077a2f65003,Retiree,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,1d01b67d-ae4c-4105-b9c6-222d027a1526,f17b3f9b-43de-4c56-bb89-a077a2f65004,Candidate,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,1d01b67d-ae4c-4105-b9c6-222d027a1526,f17b3f9b-43de-4c56-bb89-a077a2f65005,Contractor Employee,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,1d01b67d-ae4c-4105-b9c6-222d027a1526,f17b3f9b-43de-4c56-bb89-a077a2f65006,Former Domestic Partner,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,1d01b67d-ae4c-4105-b9c6-222d027a1526,f17b3f9b-43de-4c56-bb89-a077a2f65007,Contingent Worker,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,1d01b67d-ae4c-4105-b9c6-222d027a1526,f17b3f9b-43de-4c56-bb89-a077a2f65008,Ex - Contractor Employee,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,1d01b67d-ae4c-4105-b9c6-222d027a1526,f17b3f9b-43de-4c56-bb89-a077a2f65009,Consultant Employee,TRUE
